product,flow,value
Coal and coal products,Industry,21.26258284931507
"Crude, NGL and feedstocks",Industry,0.24556504109589042
Coal and coal products,Residential,3.5804941369863017
Coal and coal products,Commercial,0.3832284657534247
Coal and coal products,Other,2.3034474794520547
Gas,Industry,187.70846747945208
Solar/Wind/Other,Industry,0.04460254794520548
Combustible renewables and waste,Industry,29.56791465753425
Gas,Transport,1.321448383561644
Combustible renewables and waste,Transport,12.43975304109589
Gas,Residential,72.58599775342465
Geothermal,Residential,0.10790161643835616
Solar/Wind/Other,Residential,1.9949850136986302
Combustible renewables and waste,Residential,41.253420739726025
Gas,Commercial,16.720171808219177
Geothermal,Commercial,0.024460109589041094
Solar/Wind/Other,Commercial,0.5006691232876713
Combustible renewables and waste,Commercial,1.7902069041095892
Gas,Other,24.235048465753426
Geothermal,Other,0.08775917808219177
Solar/Wind/Other,Other,0.04173079452054795
Combustible renewables and waste,Other,0.767280301369863
Oil Products,Industry,105.68697241095889
Oil Products,Transport,720.0957458630137
Oil Products,Residential,70.76482410958904
Oil Products,Commercial,29.306906410958902
Oil Products,Other,181.76405838356163
Electricity,Industry,171.37182536986305
Electricity,Transport,5.676874136986301
Electricity,Residential,126.33333320547946
Electricity,Commercial,145.12901961643837
Electricity,Other,15.60579090410959
Coal and coal products,Electricity output in GWh,49973.0
Gas,Electricity output in GWh,120798.0
Nuclear,Electricity output in GWh,58973.0
Hydro,Electricity output in GWh,23532.0
Solar/Wind/Other,Electricity output in GWh,35831.0
Combustible renewables and waste,Electricity output in GWh,4037.0
Oil Products,Electricity output in GWh,18002.0
Coal and coal products,Production,84.2287086849315
"Crude, NGL and feedstocks",Production,2.598997095890411
Gas,Production,0.2813715890410959
Nuclear,Production,308.6376025479452
Hydro,Production,40.64137578082192
Geothermal,Production,0.22012090410958907
Solar/Wind/Other,Production,63.97913183561644
Combustible renewables and waste,Production,109.2695751780822
Coal and coal products,Imports,251.7769449863014
"Crude, NGL and feedstocks",Imports,1238.2313152876714
Gas,Imports,708.2516507123287
Combustible renewables and waste,Imports,6.446102410958905
Coal and coal products,Exports,-29.70977526027397
Gas,Exports,-0.8195542465753426
Combustible renewables and waste,Exports,-1.6926074520547947
Coal and coal products,Total Consumption,27.52975293150685
"Crude, NGL and feedstocks",Total Consumption,0.24556504109589042
Gas,Total Consumption,302.5711338904109
Geothermal,Total Consumption,0.22012090410958907
Solar/Wind/Other,Total Consumption,2.581967397260274
Combustible renewables and waste,Total Consumption,85.81861580821916
Oil Products,Imports,522.5674280000001
Electricity,Imports,10.156889808219178
Oil Products,Exports,-205.64800989041092
Electricity,Exports,-29.22199890410959
Oil Products,Total Consumption,1107.618547342466
Electricity,Total Consumption,464.1168432328768
Electricity,Production,1105.1192382465754
Coal and coal products,Electricity,-225.73317383561647
Gas,Electricity,-362.1967678630137
Nuclear,Electricity,-308.6376025479452
Hydro,Electricity,-40.64137578082192
Solar/Wind/Other,Electricity,-61.39571852054795
Combustible renewables and waste,Electricity,-26.544279616438356
Oil Products,Electricity,-79.97032008219178
"Crude, NGL and feedstocks",Oil Products,-1249.8821595068493
All products,Heat and Waste,610.5931971780822
All products,Industry,515.8879303561644
All products,Transport,739.5338214246575
All products,Residential,316.6209364931507
All products,Commercial,193.85466243835617
All products,Other,224.80511550684935
All products,Total Consumption,1990.7025465479455
All primary,Production,609.8568836164384
All primary,Imports,2204.70601339726
All primary,Exports,-32.22193695890411
All primary,Total Consumption,418.96715597260265
All primary,Oil Products,-1249.8821595068493
All primary,Electricity,-1105.1192382465754
Oil Products,Production,1226.8990348767124
All products,Hydrocarbon Heat and Waste,22.9831246301369
All products,Electricity Heat and Waste,587.6100725479453
